PlayerID,PlayerName,CurrentTeam,HeadshotURL
203992,Bogdan Bogdanović,Clippers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203992.png
1641737,Adem Bona,76ers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641737.png
1626164,Devin Booker,Suns,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626164.png
1628449,Chris Boucher,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628449.png
1631123,Jamaree Bouyea,Suns,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631123.png
1628396,Tony Bradley,Hawks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628396.png
1631103,Malaki Branham,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631103.png
1631128,Christian Braun,Nuggets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631128.png
1642886,Koby Brea,Suns,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642886.png
1628969,Mikal Bridges,Knicks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628969.png
1628970,Miles Bridges,Hornets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628970.png
1628415,Dillon Brooks,Suns,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628415.png
1641780,Johni Broome,76ers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641780.png
1628971,Bruce Brown,Nuggets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628971.png
1642468,Darius Brown,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642468.png
1627759,Jaylen Brown,Celtics,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png
1641738,Kobe Brown,Pacers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641738.png
1628973,Jalen Brunson,Knicks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628973.png
1642868,Carter Bryant,Spurs,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642868.png
1628418,Thomas Bryant,Cavaliers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628418.png
1641723,Kobe Bufkin,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641723.png
1631174,Tyler Burton,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631174.png
202710,Jimmy Butler III,Warriors,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202710.png
1641824,Matas Buzelis,Bulls,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641824.png
1631288,Jamal Cain,Magic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631288.png
